index,Enc. Variable 0,Enc. Variable 1,Enc. Variable 2,Enc. Variable 3,Enc. Variable 4,Enc. Variable 5,Enc. Variable 6,Enc. Variable 7,Enc. Variable 8
26,0.9893261,0.7481049,-0.4662941,0.8048354,0.6878247,-0.25783962,-0.6193018,0.077688634,0.38512743
27,1.4468416,1.2860419,0.4083781,0.67799866,0.5019265,-0.02252737,-0.6115925,-0.0014616698,0.3792612
28,-0.4861703,-0.7500294,1.1900232,-0.8410517,-0.3336364,0.4256273,-0.075393245,-0.43528605,-0.7187414
29,-0.27829295,1.0066352,0.42544863,0.33089444,0.7718772,-1.4695724,1.1885253,-0.54573345,0.53857535
30,-0.85969776,0.23568591,0.27177,0.76648647,1.3814647,-0.88142884,0.09486213,-0.6973496,0.87113917
31,0.18133274,-0.7567161,-0.06539916,-1.1768681,0.42109445,0.2951318,0.4848136,-0.73219997,0.34871003
32,0.65712094,-1.0935715,-0.16570108,-1.3527949,1.1643047,0.4412944,0.78031963,-0.70797896,-0.33525395
33,-0.6466659,0.60589534,-0.511562,-1.1143746,0.2431091,0.45887107,0.71338683,-0.38858426,-0.4050512
34,0.63901085,-0.59673244,0.042921163,-0.7839565,-0.1897403,-0.25113428,1.0954834,-0.9981221,-0.43419757
35,0.86958295,-0.043456137,0.6734906,-1.4274567,0.896179,-0.17448542,0.86808467,-0.6628899,-0.91721094
36,1.1144534,-0.23095052,0.56476325,-1.4027135,0.54590285,0.7349811,0.042322382,-0.7591714,-0.1784622
37,0.2214595,-1.4594322,0.11398718,-0.49333447,0.7170305,-0.24147767,0.7245921,-0.8637708,0.065433085
38,0.49969617,-1.8620859,0.34003663,-0.2931789,0.705716,0.19508548,0.61855143,-0.6282967,0.8682873
39,0.8274948,0.95585316,-0.100167595,-0.78128225,0.5027368,0.021907024,0.72008604,-0.2520981,-0.8757695
40,0.7305484,-1.7115381,-0.13242511,0.11217596,0.48030823,0.59821326,0.12184298,1.3254501,0.66565436
41,0.52458525,-1.3186978,-0.4021843,-0.80256015,0.17158265,0.0034224018,0.20524167,-0.46793884,0.13990086
42,1.094588,-0.45781028,0.39068013,-1.254616,0.60237527,-0.99186957,-2.6896596e-06,-0.7694558,-0.33465067
43,0.1254553,0.0193028,1.3675158,-0.08063464,1.954675,0.41826713,0.3780709,-0.49059814,0.7352536
44,0.39128616,-0.66017884,-1.0380058,-0.6341909,0.26971444,-0.2336857,0.5232641,-0.4899074,-0.98597115
45,-0.2870596,-0.68975186,-0.10435393,-0.56539047,0.31025952,0.5148057,0.76388747,0.39321584,-0.06447494
46,1.491189,-0.9771854,-1.1382923,-0.85636306,0.6566136,0.49918967,0.18273541,0.6408232,-0.522339
47,0.17341553,-1.4829004,0.9251165,0.092359856,-0.3688224,0.048968077,-0.10616428,-0.46033648,0.20828271
48,-0.62916243,-1.2428508,0.35324922,-0.7168959,-0.76445884,0.9132242,0.6142057,0.5961928,0.5816171
49,1.7630746,-0.66060823,-0.81805885,-0.6767447,0.5042233,-0.55216694,0.8810816,-0.14680442,-1.0837635
50,-0.6497286,-1.2140423,1.0485096,0.5680854,-0.100776635,0.55653214,0.9073722,0.671379,-0.036974557
51,-0.43914634,0.9977756,-0.7895306,0.09811255,-0.34003374,-0.6832829,-0.2845523,-0.9062985,-1.4930357
52,0.12461197,-0.08334666,0.21574742,0.4663761,-1.1924018,1.2221024,-0.26057377,-0.17923178,-0.72885007
53,0.53799284,-0.24356782,0.37469268,0.28733435,-1.0145551,0.15996338,1.2158777,-0.58914965,-0.9582626
54,0.46938756,0.16970882,0.13144645,-0.8189887,-0.51070666,-0.0539968,1.086181,1.222027,0.23814526
55,-0.1686559,-0.9119673,-0.30231208,-0.19702944,-0.82089716,1.0460659,1.0233606,0.27330494,0.30241063
56,0.2671299,0.88788617,0.5943577,-0.35731718,-0.9213562,0.8085158,-0.795294,-0.1579931,-0.5785941
57,1.1486564,0.26285234,1.233271,-0.1255959,0.20558658,0.6506252,0.83738965,-0.5931499,-0.67107654
58,1.3350816,0.41941977,0.4100284,-0.109100595,-1.2791581,0.22178511,0.7237532,0.427776,-1.57031
59,-0.03492508,-0.2454117,1.2937739,-0.23294611,0.4892257,1.0451229,0.7298302,1.4051447,0.46091682
60,-1.5391206,0.33705774,-0.40768933,0.088416584,-0.3818012,-0.439621,-0.6879666,-1.1007242,0.64611924
61,0.92641294,-0.08733023,0.48995265,-0.50895023,-1.0392028,0.7453034,0.30032307,-0.11401924,-1.1332848
62,-0.7111807,0.84592247,0.3953072,-0.70103407,0.12829658,-0.81433165,-0.8316686,-0.938575,-0.68049294
63,0.039834082,0.8509618,-0.3000595,-1.1485456,-0.3171196,0.8729902,0.64283127,0.27790117,0.841316
64,1.4687729,-0.15836166,0.6547408,-0.4290311,0.90872586,1.5151652,0.47483408,0.06506093,0.11853371
65,-0.21064037,1.2978292,0.92665344,-0.9599284,-0.42640096,-0.010379669,0.2782883,0.13215742,-0.28392252
66,0.024227474,-1.1790212,-0.11327852,0.18122038,-0.021452252,1.3816888,0.8159824,0.2623064,-0.057934538
67,0.16228117,1.4719857,-0.24585822,-0.30581716,-0.2196774,0.49736807,0.56870717,1.0433961,-0.73099744
68,0.7598978,0.4549809,0.41252348,-0.84271437,-0.710042,0.80483234,-0.41339302,0.54600245,-1.2279909
69,0.43070292,-0.12519391,0.79956436,-0.8146241,-0.12449341,0.23721498,1.2556688,-0.16215366,-1.3664771
70,0.22010225,0.33802527,-1.2825856,-0.59435457,-0.942964,-1.2582539,0.20308639,-0.12509735,-0.6929654
71,1.0712862,0.6612122,-0.044213198,-0.23842153,-0.81307673,0.91206855,1.0183555,0.14732006,-0.7760184
72,0.9102441,0.00062742643,0.4885873,-0.69981456,-0.26878923,-0.36944154,0.206578,-0.32074678,0.10415168
73,-0.17075948,-0.55220467,0.42234707,-0.79699963,-0.58619875,-0.53285533,0.81606185,-0.31852338,-1.6349312
74,0.31788158,1.7246776,0.6778551,0.17322962,-1.0506971,-0.23835188,0.23282905,0.6628201,-0.943349
75,-0.95164645,1.292096,0.50785494,-0.69247955,-0.6187318,-1.1256131,0.13335025,-0.5500445,-0.5033144
76,0.6711666,-0.40290356,-0.7979795,-1.2296759,-0.4774301,0.063403144,1.4639654,0.7755809,-0.39232898
77,1.9007325,0.6815615,0.5037467,-0.43730807,0.025848024,-0.76175183,0.5754578,-0.16738886,-1.0040488
78,0.08122985,0.59476227,-0.2697615,-0.44836813,-1.0377909,0.9619236,-0.4740995,-0.5369743,-0.53755826
79,-1.0620381,0.012911238,-0.5970534,-1.058655,-1.4363072,0.17103072,-0.36322457,-1.1070421,0.6774488
80,0.861624,-0.32184333,-0.45273104,-0.9926891,-0.4258752,-0.0010748357,0.61838925,-0.5324115,-1.5364652
81,0.074392706,1.17464,0.9687878,-0.9594066,0.49646598,0.16388744,0.34162652,0.10870499,-1.2176656
82,1.180597,-0.5884775,-0.36580956,0.084794015,-0.5506979,1.2377113,0.6205742,-0.46370447,-1.1130888
83,0.4126114,0.23887087,-0.50867283,-0.36946777,-0.926488,1.0522286,0.20063451,-0.55984795,-0.5719867
84,1.3315512,-0.841582,-0.080022685,0.07450682,-0.57592285,-0.5869608,-0.2918106,0.24033497,0.11464422
85,0.056498785,-0.19455943,0.36525032,-0.24738994,-1.2129105,-0.45295042,-0.840242,-0.48736212,-1.3355222
86,0.16185574,-0.6834013,0.24627025,-0.50422037,-0.3866068,-1.3942312,-0.27671233,-0.5504843,-0.61231637
87,1.1184571,-0.30449998,0.37199822,-0.33128262,-0.5130744,0.8234575,1.0938733,0.11838724,-0.45218655
88,1.2135655,-0.8506886,0.8174103,-0.3300225,1.0424933,0.67697996,0.6941062,-0.04805594,0.53486514
89,-0.03242311,-0.22636868,1.045433,-0.05776847,0.42319298,0.5559393,0.9561615,-0.29993898,0.7613587
90,-0.32157236,1.2931709,0.39395383,-0.115530536,-0.39895266,0.22581756,-0.49217328,-0.5649866,-1.5425836
91,1.2113143,-0.0102558285,-0.17262006,-0.55302185,-0.21200709,0.84743387,0.4806289,-1.219939,-0.9762571
92,-0.1802051,-0.3370918,1.059616,0.64674896,-1.1120588,-0.026186526,0.75491947,-0.019897535,-0.4224874
93,0.98653036,-0.7185251,0.3133758,-0.82886153,-0.14941572,-0.11267734,1.4777147,0.38404527,-0.17614816
94,0.11323322,0.3293802,1.1140068,-0.3224388,-0.93607795,-0.3666669,-0.14905593,-0.23365094,-0.29137728
95,-0.4190811,0.36781642,-0.3086195,-0.025122624,-0.6429788,-1.0874193,-0.17401564,-1.4550381,-0.3781181
96,0.44880632,0.6994979,0.19918633,-0.15915814,-0.76755995,0.910207,0.3218838,0.87286824,-1.0310858
97,0.6446007,-0.5714421,-0.14763857,-0.4541843,-1.5039126,0.18263397,-0.6923572,-0.9202359,0.22558102
98,-0.41188496,1.3083758,1.5478326,0.78662336,-0.7760084,-0.031438023,-0.4153599,-1.2949181,-0.43278515
99,-0.38574475,1.0465083,-0.6675696,0.15038086,-0.13637838,-0.70660055,-0.28669074,-0.7695114,-1.4593939
100,0.09682781,0.23663965,-1.1054617,0.62868494,-1.2941649,0.04739505,-0.23518325,-0.28463623,-0.8370379
101,-1.0759128,0.66923016,-0.4951913,0.56473416,-1.2015134,-0.69358724,0.10858734,-1.4695729,0.33025736
102,0.3333845,0.37440804,1.2853205,-0.3245856,-0.9341841,0.22826274,-0.6450452,0.3532593,-1.7908063
103,0.16893469,0.14623621,0.44799733,0.81704384,-1.4357535,-0.65435123,-0.12554595,-0.8586888,-0.27942607
104,-0.9636819,-1.121436,0.48416656,-0.64982533,-1.1580031,0.12277246,0.4503751,-0.41590333,-0.73273987
105,-0.124287084,-0.7458218,0.8867964,0.22742045,-0.44727105,-0.2003482,-0.31626266,-1.5568557,-0.32151526
106,0.16693561,-0.14610514,0.11050549,0.27463958,-1.3031017,1.2480344,0.21234639,0.30196697,-0.9425698
107,0.55399543,0.21521875,0.4240337,-0.93004864,-0.3455041,0.38569468,1.395443,1.4230537,0.6253436
108,0.7156913,1.2212327,-0.12680039,1.4203104,-0.6367524,0.29632378,1.0686183,0.24045643,-0.8835041
109,0.35079777,0.17855388,0.5918219,0.4542884,0.41774225,0.62491703,1.3228006,-0.49979907,0.6830236
110,1.8747617,0.33293584,0.3867349,0.24649139,-0.89038527,0.72672385,0.5932096,0.26845756,-0.86672443
111,0.9607863,-0.7721058,-0.46630284,1.3679329,-0.9612811,-0.08050979,0.5961609,1.267667,0.15083611
112,0.55415916,0.8575363,0.6769377,-1.1848967,-0.8216641,-0.8351278,0.004564777,0.4628052,-0.44261584
113,-0.3783115,-0.24404809,0.46431005,0.77153844,-1.0281422,-0.94447327,1.1124635,-1.2110157,0.17526384
114,-0.69859076,0.81034577,0.43207562,-0.6820499,-0.014445081,-0.6918694,-0.5468006,-1.0168791,-0.72677815
115,-0.2117367,0.20519176,1.0784341,0.9523063,-0.7477367,1.2732201,0.8869162,0.90147066,-0.0013831556
116,0.037187334,0.6398053,0.70936286,-0.28939733,0.23528902,-0.9504953,0.052302226,-0.7208113,-1.7926817
117,-0.0058600903,0.56907153,0.81157255,-0.034012243,-0.51718163,-1.3204827,-0.21561967,-1.4279594,-0.5836725
118,-0.23923564,-0.024463832,1.2398388,0.39658567,-0.89493775,0.01736191,0.6806451,0.0126653,-0.113325685
119,0.27706662,0.42409742,0.38421148,0.20487706,0.018697232,1.2842779,1.421674,-0.4982732,0.12021647
120,0.6787556,0.16122817,-0.36495697,0.26574627,-1.1791192,-0.021069458,0.94598776,0.1698345,-0.27587757
121,0.10510042,-1.009712,0.22598475,-0.62552214,-0.52750427,-0.040248867,1.552073,0.27739963,-1.14047
122,-0.019857734,-0.21910502,0.19723591,0.018678874,-1.2565053,0.1852937,0.94498634,0.18204193,-0.2521916
123,-0.077386774,-0.349993,0.5748652,-0.7562538,-0.48020184,-0.4025259,0.6719177,-0.60295856,-1.7818352
124,0.7975961,0.91989183,-0.08692764,1.5487688,-0.26607126,0.25018346,1.1778642,0.42327958,-0.24948233
125,0.6887993,-0.35794562,-0.7422766,-1.2625356,-0.36647627,0.044300407,1.3118615,0.63591075,-0.41639087
126,1.247208,-1.4147706,-0.13893059,-0.49429524,0.22723083,0.25927034,1.1957958,-0.2787504,-0.58475864
127,-0.042175397,0.5739778,-0.32811838,-0.36198187,-0.93553424,1.0967486,-0.39789027,-0.65815747,-0.55322385
128,0.7224183,-0.6210803,0.65210694,-0.23668261,0.15579778,0.37321848,2.0612872,0.15626605,-0.35196176
129,0.54501987,-1.6986994,0.39717978,0.085299715,0.05648032,-0.11825396,1.201273,0.41245583,-0.20270777
130,-0.8821221,0.51779234,-0.2509968,0.76866335,-1.2615863,-0.10953831,-0.09964724,-1.0264564,0.6176963
131,0.035534263,-0.39423907,0.22811657,-0.63014233,-1.4674618,-0.13941906,0.21777773,-0.69283456,-0.7408194
132,-0.43787232,-1.2687784,0.19443832,0.10837886,-0.4613452,0.8554726,1.1029209,-0.30151454,-0.02155523
133,1.222905,-0.029575236,0.29910386,0.14297418,-0.33347303,2.0983262,0.74686205,0.22353104,0.28574437
134,-0.59338474,0.7944829,0.9220647,-0.024986297,-1.0548251,-0.0293624,-0.54911745,-0.7787883,-1.3257831
135,-1.4985325,0.3640422,0.28969204,-0.15184386,-0.8711134,-0.4947961,-0.09011942,-1.3139135,-1.2926443
136,-0.053077973,-0.3691905,-0.2704697,1.2015163,-1.7926714,-0.22386518,0.3178219,0.7976624,-0.29201072
137,-1.3597996,0.6088792,-1.1901655,0.68593204,1.0094261,-0.51399225,-0.57645637,1.1202389,-0.5090096
138,-0.29151136,0.27880508,1.307396,0.7676877,-1.2621793,0.66880673,-0.04111916,0.4419893,-0.34727395
139,0.7709033,-0.3622444,-0.50103766,-0.97982985,-0.26028037,-0.1318571,0.59971726,-0.47417498,-1.8996749
140,-0.16088213,1.2226508,0.9285739,-1.0065583,0.17765507,0.09027257,0.3129203,-0.14347665,-1.1781359
141,0.34785986,-0.8413422,0.18255278,-0.6265511,-0.4924004,0.047279567,0.8188093,-1.1291299,-1.8588866
142,0.994201,0.12793052,-1.1101569,0.6316519,-0.98990446,-0.7086209,0.95220065,0.5576726,-0.9293006
143,-0.9681845,-0.14291497,-0.85296386,0.2755047,-1.1729711,-1.0479618,-0.24048367,-0.6757213,-0.44519666
144,1.3600534,-0.4120516,-0.11001286,-0.23742557,-0.47728148,1.3905163,0.41375896,-0.45425013,-0.9909416
145,-0.6804618,0.2852419,0.86546516,0.409879,-0.7504655,-1.0930309,-0.21223998,-1.7001475,-0.26400694
146,1.6375632,0.061354294,-1.0292928,0.5395222,-0.39050353,0.3240738,0.007615708,0.023583874,-0.735203
147,0.40698314,-0.8086207,0.09549166,0.10581274,-1.3917065,0.46956828,0.26660326,-0.54363143,-1.4285343
148,0.47433826,0.46750253,0.45296448,-0.69009346,-0.7672651,-0.06582555,0.20341724,0.26652148,-0.96784645
149,1.13154,-0.18969367,-0.37865907,1.0829843,0.5127265,0.3617072,0.171922,-0.22931665,-0.7229856
150,-0.25596955,-0.19853671,0.3767153,-0.256575,-1.1159708,-0.23100142,-1.0560261,-0.43599293,-1.4704609
151,-1.3473644,-0.40365538,1.3432659,0.96773267,-0.87008727,-0.050425567,-0.00999327,0.049098387,-0.050825037
152,1.2022598,-0.7876352,-0.27383578,0.5912626,-0.13122617,0.12319284,0.12045803,0.32688072,-0.4283269
153,-0.2950871,-0.27510568,-0.54601717,0.4325776,-1.455462,-0.9263989,0.68207526,-0.7590984,-0.9315641
154,-0.79241574,-0.4019717,0.62803876,0.43444028,-1.4569947,-0.2594371,-0.34584796,0.1851399,-0.62992686
155,0.10631462,0.76862776,-0.22679153,-1.6372,0.07923983,0.023536824,0.095936894,-0.42370683,-0.8002189
156,-0.79331446,0.79355717,-0.2598312,0.7340539,-1.1725129,-0.2819332,-0.062255926,-1.3648752,-0.9745322
157,-0.1921677,0.3066724,-0.5878094,-0.050420918,-1.3230004,-1.1054767,-0.22898705,-0.44451606,-1.6870391
158,1.5175812,0.18437757,-0.4184442,0.25596255,-0.8528024,-1.2153591,0.15311342,0.95345485,-0.5101211
159,1.247991,-0.25260127,0.108243644,-0.007826649,-0.27168998,0.8181922,0.6791754,-1.6476847,-0.91499156
160,-1.0432879,0.41303796,-1.2037033,0.24960434,-1.3209445,0.17056954,-0.15151705,-0.50716215,-0.095752396
161,0.8119012,-0.39371315,-1.1080341,0.15369906,-0.03348446,0.72041094,-1.3223679,0.5805803,-0.12175564
162,0.898012,-0.64781684,0.012089137,0.573148,-0.8050108,-0.36975536,-0.9044721,0.06795235,0.42576358
163,0.30572945,0.31819618,-1.4951128,0.26398152,0.54281163,-0.16198361,-0.8795789,0.68830353,0.45548525
164,1.0497618,-0.67090845,-0.02309119,0.30057502,-0.4413783,0.12932453,-0.65587723,0.19235155,0.53348684
165,-0.39366832,-0.65268284,-0.044562973,1.208889,-0.5056602,0.846432,-0.8887696,0.11401664,1.1620119
166,0.7856059,0.9420171,-1.43406,0.010005526,0.81044036,0.09528358,-0.474781,0.31169233,0.9355558
167,0.4386685,-0.2528326,-0.84056616,0.6901324,-0.56508255,0.4634508,-1.436799,0.15564904,0.49217772
168,1.4761069,-0.20889446,-1.0032873,0.6289246,-0.120546624,0.38597724,-0.21485022,0.76354825,1.0111347
169,1.2953916,0.2904972,-0.35155413,0.40444615,0.56380254,0.055283792,-1.1558499,0.20385568,0.8002091
170,-0.3773651,-0.32659233,1.4659334,-0.84362787,0.4935395,1.1937284,0.3606639,0.75118333,-0.7981038
171,1.4495817,-0.06870173,0.28199887,0.66691184,-0.6418849,0.70570517,-0.29499778,0.18618844,1.3073704
172,0.8866849,-0.007332052,0.20567939,0.977103,-0.29569134,0.0027480423,-0.9147942,-0.16723508,1.0062573
173,0.4871489,-1.5887829,0.21394327,-0.5303298,-0.03889905,0.699843,-1.2605774,0.9306005,0.17248571
174,0.0554028,1.4057407,-1.4968224,0.66876453,-0.68485075,0.7950442,-0.22671825,-0.15383354,0.378663
175,0.5589373,-0.3561297,-0.100556195,0.56346023,0.27986988,0.70097077,-0.66835934,0.063047506,1.5353837
176,0.5599068,-0.6803736,-0.9535141,0.37819695,-0.29760376,0.32330906,-0.6747536,0.96924156,0.023252293
177,0.22013654,-0.8803834,-0.97370225,0.6344045,-0.1875844,0.4381178,-0.8526414,0.33091205,-0.08273429
178,0.033934195,-1.0846,-0.2575183,0.13973811,0.11533368,-0.48204836,-1.4402438,0.5408659,-0.72627246
179,0.5757086,-0.9315668,-0.54163194,0.28459454,-1.0181141,0.06280001,-1.3045671,0.7124772,-0.6474216
180,0.29146504,0.19559014,-0.47229043,0.20024854,-0.5203858,-0.44372255,-1.3693292,-0.45952797,0.8424654
181,1.038802,-0.010253,-1.2413177,0.4537627,-0.19035898,-0.16940713,-0.68194336,0.3317375,0.36204326
182,0.028136529,-1.4064063,0.78398246,-0.017024335,-0.4794232,0.8564689,-0.5958193,-0.561187,0.8599437
183,1.1548299,-0.23510897,-1.5009747,0.7352168,0.18866009,0.17533791,-0.79642826,0.044624597,0.6412675
184,0.6990775,-0.1268714,-0.9099188,0.5928998,-0.3230568,0.3930221,-0.9407234,0.61913913,0.5109093
185,1.0460926,-0.19679831,-0.3998337,0.38341513,-0.7552575,0.5463176,-0.6323884,0.46928686,0.21855117
186,0.5521533,0.53751606,-1.1058788,0.40140712,0.22958027,-0.38422498,-1.2902262,0.35034162,0.6521615
187,0.05842215,-0.020237714,-0.96219885,0.3349922,0.7583979,-0.61582303,-1.2536073,0.2553015,0.48855704
188,1.1489024,0.15534636,-1.2564055,-0.37917325,0.97518605,0.37344337,-0.053125333,0.48398963,0.5342587
189,-0.252404,-0.9558823,0.50540334,-0.11758835,-0.7165811,1.2291752,-0.878247,-0.23215613,0.1355377
190,0.30003694,-0.88225186,0.6766888,-0.17091638,-0.55542684,1.0062644,-1.3855441,0.74880946,-0.693183
191,1.2663779,-0.021825902,-0.7252192,-0.8628205,0.16222566,0.5492649,-1.1481494,0.60204667,-0.28153405
192,0.8385359,-0.2925893,-0.65182626,-0.39685464,-0.068353936,0.892725,-1.4785291,0.5992206,-0.6475791
193,1.04262,-0.20460646,-0.618903,-0.32915646,0.115906715,0.59778804,-1.5076114,0.16433269,-0.63744766
194,1.106681,0.13564223,0.6206944,0.4961073,-0.9276184,0.41492528,-1.2975631,-0.54614145,-0.22028461
195,0.5068115,-0.99632424,0.43330306,0.12510549,0.5992617,0.46092796,-1.4793727,0.8838838,0.078908
196,0.77727294,0.9053882,-0.8301643,0.068074495,0.14212307,0.78324115,-0.548994,0.35465232,0.7243882
197,1.1692579,-0.24003497,-0.21029872,0.7398606,0.2636661,0.7156382,-0.5891395,0.426685,0.9106293
198,-0.096623376,-0.516471,-0.45123512,0.324208,-0.12829094,-0.35619724,-1.7613821,0.24741456,-0.41991025
199,0.6104845,-0.6882282,-0.30460224,0.26678184,-0.42892975,-0.019040287,-1.150959,0.7091282,-0.016118921
200,-0.4850285,-0.2583894,0.9366035,-0.07474946,0.61708117,0.94751346,0.8041777,1.5528862,0.623747
201,0.83421546,0.42524818,-1.3396925,-0.38599557,0.75700223,-0.11577162,-0.81297714,0.93714046,0.36007512
202,0.29376417,-0.42233923,-0.7759167,0.15368408,-0.37510547,-0.07344128,-0.8912786,-0.017104968,0.22035713
203,0.831629,-0.6915548,-0.32263887,0.0880545,-0.29478854,-0.12087854,-0.94035476,-0.27536356,-0.22586642
204,0.65723854,-1.1033559,-0.35395756,0.31121644,-0.4733689,0.13619411,-0.9667945,1.0642881,-0.5485916
205,-0.09482117,-1.3767896,0.45565468,0.46137935,-1.0878965,0.6234564,-1.0391567,0.6187767,-0.4344798
206,-0.17821859,-1.7119234,0.65833986,0.5593387,-0.93965745,0.6477725,-0.6956945,0.3937812,-0.060229957
207,0.46623385,-1.0706267,-0.15276054,-0.004090771,-0.63840353,-0.1678927,-0.7036084,1.2459209,-0.5156671
208,1.168227,-0.44298387,-1.3298781,0.016318336,0.43702546,0.32860005,-0.7008589,0.6903378,0.39238685
209,1.169106,0.5264319,-0.3450586,0.22798195,0.36398542,0.73314077,-1.5839584,0.044213384,0.7109488
210,0.8679991,-0.3433424,-0.5244995,0.14678386,-0.8695016,-0.101960585,-0.77299696,0.28183135,0.11922911
211,0.1318352,-0.58627766,-1.1805444,0.77038443,-0.75242144,0.06528322,-1.1328298,0.19110817,-0.13134138
212,-0.7156036,-0.42151788,1.8439999,0.75380427,0.38336653,0.56347364,-0.6587377,0.38444892,-0.03744702
213,0.9940462,0.7657416,-0.9363062,0.14776786,-0.13704461,1.1747247,-0.5837559,-0.007570468,0.6299521
214,0.09873028,-0.9305877,-0.8007682,0.36360377,-0.53777087,-0.4964799,-1.1217654,0.11170021,0.6000007
215,0.49753174,0.7817362,-0.8554458,1.5314698,0.06793514,-0.44342977,-0.98046243,-0.18190005,0.22483319
216,0.34483784,-0.44755,-1.1033517,0.60362184,-1.0205609,-0.086868465,-1.0826628,0.52000976,-0.45221993
217,0.5736157,-1.0853319,1.0394672,0.22879574,-0.8398125,0.06320562,-0.97270304,0.18047066,0.38774347
218,0.6074855,-0.61793184,1.1574626,0.44864348,-0.5398194,0.05370163,-0.79013485,-0.20368646,0.42024013
219,-0.17274383,1.0340708,-0.6691885,0.22738178,0.4961898,0.56619227,-1.5621728,-0.5181528,0.7222631
220,0.6160036,0.70842856,-1.3128701,0.4873225,1.0856036,0.29735407,-1.0993066,0.579368,1.1463987
221,1.3374636,-0.6016901,-0.68552285,0.71170276,-0.19562471,0.7992103,0.07992011,0.63283503,0.83776796
222,0.60084254,0.117102,-0.6291768,0.7300565,-0.07612392,0.30254018,-1.3512053,0.3055278,0.28957182
223,0.4024493,-0.121428065,0.4013066,1.1943487,-1.0725946,0.5060886,-0.58926183,0.1709904,0.89944315
224,0.879143,0.021224033,-0.6546983,0.6990323,0.38722354,-0.24032259,-1.2588426,-0.25452977,0.7639404
225,0.15038715,-0.96143883,-0.5263995,0.3611783,-0.38820022,-0.3969916,-1.318796,0.54264015,-0.3662225
226,0.15759605,-0.9939633,-0.39146525,0.3571069,-0.3882228,-0.18486357,-1.4877613,0.7072198,-0.24812555
227,0.41484642,-1.6188142,0.30752495,-0.37760141,0.03322445,0.7430521,-1.3948145,0.6199655,0.019508153
228,0.82408625,-1.2774186,0.06557169,0.09316859,-0.07515145,-0.1149108,-0.97528434,0.82622206,-0.20216776
229,1.3238204,0.817498,-0.35204643,0.6420758,-0.13969117,0.74809235,-0.78482383,0.44638205,0.49803394
